O₃ [µg/m³],NO₂ [µg/m³],SO₂ [µg/m³],PM2.5 [µg/m³],CPC [1/cm³],NOₓ [µg/m³ eq. NO₂]
72.7,1.7,0.4,0.9,1513.3,2.1
71.4,2.4,0.3,1.6,2238.3,2.8
71.5,2.7,0.3,2.1,2666.5,3.2
71.2,3.9,0.3,1.4,2985.8,4.3
62.4,11.4,0.3,2.2,6807.1,11.9
48.2,22.3,0.9,3.6,11630.8,23.1
36.3,30.6,1.3,6.9,13563.7,32.2
52.9,15.1,1,4.7,7910.0,15.6
72.3,2,0.4,1,2097.6,1.9
70.2,1.9,0.3,0.4,1390.7,1.9
68.7,1.8,0.3,0.4,1370.9,2
71.7,1.2,0.2,0.6,937.8,1.3
72.1,0.7,0.2,0.8,835.1,0.8
72.9,0.6,0.2,1.5,744.2,0.6
72.1,0.6,0.2,1.8,686.1,0.8
70.2,0.9,0.2,2,855.9,0.7
71.4,0.8,0.2,1.9,787.6,1
69.9,1.3,0.2,1.4,1091.9,1.7
68.1,1.8,0.2,1.9,1119.9,2.1
66.4,2,0.3,2,1479.1,2.3
67.5,1.6,0.2,2.1,1434.5,1.9
64.9,2.2,0.3,2.2,2089.3,2.7
60.1,5,0.4,2.2,4157.9,6.1
61.6,3.2,0.4,2.4,3225.0,4.1
62.9,2.5,0.3,2.4,2374.6,3.1
60.2,4,0.3,2.3,2855.7,4.5
59.1,2.9,0.2,1.5,1807.1,3
54.4,5,0.3,1.1,3401.4,5.4
40.3,17.4,0.3,2.6,9035.9,17.9
26.5,32.1,0.6,5.9,12766.8,33.5
26.2,30.3,1,6.4,11905.2,31.5
21.2,31.1,1.3,10.1,13023.6,32.3
15.9,31.6,1.1,11.7,12271.1,33.3
12.1,33.1,1,12.1,11035.7,35.5
18.6,26.3,0.8,11.3,9715.3,27.7
22.1,25.8,1.3,9.4,8614.1,26.7
55.5,6.9,0.6,4,3172.2,7.1
63.6,2.9,0.5,1.6,1699.7,3
58.4,6.4,0.4,1.4,2590.2,6.6
32.7,20.7,0.7,4.3,5796.1,21.4
27.2,22.7,0.6,7.3,5544.3,23.7
32.1,23.1,1.1,6.8,7285.9,24
26.2,24.7,0.9,5.4,7918.8,26
14.1,38.1,1.6,5.1,12064.1,42.9
13.7,36.9,2.1,6,12358.9,47.6
14.4,38.3,2.3,7,12771.6,58
20.9,34.3,2.4,7,13025.4,55.9
34.5,21.3,1.4,5.4,8363.0,28.6
46.1,10.9,0.8,4.4,5634.3,12.6
50.5,6,0.7,3.9,4413.7,7.3
54.2,4.2,0.5,3.8,2551.6,4.7
50.3,5.5,0.4,4.5,2988.9,5.8
47.2,7.2,0.4,5.2,6354.5,7.7
46.9,8.5,0.5,5.4,8603.7,8.8
50.5,4.7,0.4,4.9,3431.8,5
49.1,5.7,0.5,6,4120.4,6
46.4,7.5,0.5,7.6,4873.5,7.8
42.7,7.4,0.4,9.1,5148.5,7.8
43.4,6.7,0.5,7.3,4618.2,6.9
25.7,21.5,0.9,9.2,8942.3,22.2
31.2,13.7,0.6,8.6,6456.6,14.5
25.8,19,0.7,8.2,6716.8,19.7
20.7,20.8,0.7,7.9,6736.6,22.1
18.6,21.4,1.8,7.5,8171.3,22.4
18,22.4,1.5,7.3,7981.0,23.7
14,25.8,1.8,8.3,8991.2,27.7
11.7,29.2,2.5,9.5,10205.5,32.2
17.7,28.1,2.7,9.4,9506.5,30.8
20.9,26.8,2.5,9.6,9919.0,32
24.1,24.2,2.4,9.9,10732.9,31.1
27.2,23,1.9,10,10443.8,30.1
33,18.2,1.3,9.7,8229.5,23.9
35.5,18.9,1.5,9.1,9230.6,23.8
34.1,21.4,1.8,10.6,9082.7,24.8
27.1,29.9,1.7,10.6,12449.2,33.8
30.1,26.5,1.6,13.6,10711.3,28.2
32.2,24.3,1.2,14.1,13766.8,25.5
24.2,32.1,1.3,14.7,16047.5,33.8
29.6,25.6,1.3,18.5,15699.1,26.7
29.8,23.4,1.3,17.3,15041.7,24.7
25.8,25.5,1.5,19,15562.6,26.7
23.1,25,2,24,13213.2,26
20.8,25.3,1.9,28.6,14795.6,26.4
12.9,30.6,2.1,48.5,19945.6,32.7
24.2,22.4,2,46.1,13262.5,23.1
32,16.3,1.1,29.8,11275.3,16.7
43.1,6.6,0.8,11.1,5418.6,6.8
38.7,7.3,0.6,10.4,5089.5,7.3
39.4,6.3,0.6,5.4,3536.8,6.6
41.5,5.4,0.6,3.8,2426.1,5.8
40.2,7,0.6,4.4,3420.8,7.3
34.9,11.6,0.6,4.2,4329.9,12.3
37.7,8.4,0.8,3.9,3274.7,9.3
38.9,8.1,0.7,5.1,3819.0,9.6
39,6.4,0.6,7,3037.8,7.5
39.9,5.6,0.5,8.1,2406.3,6.7
35.1,8.9,0.5,9.8,3381.7,10.5
35.3,12.2,0.5,9.9,9443.9,14.2
35.8,13.6,0.6,10.2,7911.0,15.2
36.5,17.8,0.5,8.2,13970.1,20.4
35.2,16.4,0.5,10.2,10931.1,16.9
32.1,16.5,0.7,12.6,14826.9,17.2
28,17.7,0.8,14.8,19435.6,18.7
21.5,21.5,0.7,15.1,12665.2,22.8
17.5,22.8,0.6,15.7,10580.1,24.3
22.9,19.5,0.5,15.1,10893.6,20.6
26.9,16.4,0.5,15.3,10865.9,17.4
24.2,16.6,0.4,16.7,6037.7,17.6
21.9,16.7,0.4,18.1,4942.7,17.6
16.5,18.6,0.4,22.8,4813.2,19.9
14.4,19.8,0.4,24.6,4287.7,20.7
11.6,20.5,0.4,24.2,4501.4,23.7
11.8,19.7,0.4,23.5,4580.8,21.8
11.8,19.3,0.3,21.9,4691.3,20.6
9.8,21.1,0.4,21.1,6202.2,22.8
7.6,23.2,0.4,20.2,5315.9,27
8,22.5,0.4,19.5,5461.6,26.8
8.4,24.3,0.5,16.9,9346.6,31.4
11.1,23.4,0.5,16.5,7982.2,32
14.5,20.8,0.5,16.5,7187.8,26.9
17.9,19.9,0.5,15.7,6747.1,24.1
18.4,21.4,0.5,15.8,7156.2,24.5
20.9,21.3,0.5,15.1,7232.5,23.9
25,20.8,0.5,15,7805.2,22.1
29.1,20.6,0.5,13.7,9057.5,21.6
29.3,21.2,0.5,14.5,9443.0,22.1
30.4,18.7,0.5,16.9,9103.0,19.7
28.8,18.8,0.5,17.7,8568.6,19.6
28,18.2,0.5,19.1,7304.7,19
28,17.9,0.5,17.5,6498.3,18.4
27.9,18.3,0.5,16.7,7463.8,18.9
32.8,14.1,0.4,15.5,4064.7,14.6
26.1,17.2,0.5,16.1,5956.2,18
25.9,17.6,0.6,15,6230.8,18.6
27.8,16.1,0.6,14.4,5895.1,16.9
31.3,12.9,0.6,14.4,4769.5,13.5
32.4,12.1,0.4,13.6,4032.7,12.7
34,12.5,0.5,13.8,5144.8,13
36.2,11.4,0.5,14.4,5782.5,11.7
36,11.8,0.4,15.9,5576.4,12.4
35.7,11.5,0.4,17.7,3687.3,12.1
34,12.7,0.3,19,3748.2,13.7
32.5,12.8,0.3,19.8,3588.5,14.1
31.7,13.3,0.4,19.6,3598.3,14.4
30,14.7,0.4,20.9,4213.8,16.1
30.2,14.9,0.3,21.1,3089.5,16.3
29.3,17.2,0.4,19.9,5074.2,19.8
24.1,22.4,0.4,19.9,14933.7,26.7
27.2,18.6,0.4,21.7,5088.5,19.2
24,20.9,0.4,24.2,5838.3,21.6
22.7,20.8,0.5,25.8,7440.0,21.3
25.5,17.5,0.6,26.7,7456.2,18.2
26.6,16,0.6,27.6,6959.4,16.4
24.7,17.6,0.7,27.5,6766.3,18.3
17.8,25.1,0.8,31.2,9476.1,26.2
13.7,27.1,0.9,32.3,11628.9,29
19.7,18.1,0.7,28.4,6220.0,18.9
25.5,17.1,0.6,20,2839.8,17.7
26,11.4,0.5,19.2,2709.7,11.8
23.3,14.9,0.5,20.2,2792.2,15.5
11.4,22.8,0.6,22.9,4227.1,24.9
11.6,23.3,0.6,22.9,4688.0,25.7
7.5,27.6,0.5,23.6,6418.0,31.7
5.4,29.3,0.7,22.9,7049.9,36.9
4.8,32.3,1.2,23.5,9885.6,56
9.1,28,1.1,21.9,7889.0,45.2
13.2,24.1,0.8,19.6,6559.0,35.4
13.9,23.7,0.8,20.5,7641.4,34.2
10.5,27.3,0.8,21.7,8401.0,39.5
9.9,27.9,0.8,21.4,8000.2,39.1
15,25.4,0.7,21.8,6612.7,31
15.2,27.1,0.6,21.1,6066.8,29.8
15.4,29.5,0.6,21.3,6596.1,31.7
28.8,22.2,0.6,19.3,6108.1,23.4
32.9,17.4,0.6,19.8,3958.0,18
32.5,15.8,0.7,21.2,3073.9,16.6
29.6,16.4,0.4,23.5,2160.1,17.1
28.4,16.7,0.4,24.7,1822.5,17.3
28.9,16.6,0.4,24.7,1419.6,16.9
30.6,15.3,0.4,23.4,1621.2,16.1
32.3,14,0.5,22.7,1592.3,14.2
31.2,13.8,0.5,23.5,1752.5,14.3
30.7,13.5,0.4,24.2,1491.0,14
31.8,12.9,0.4,23.9,1214.1,13.2
29.6,14.5,0.4,23.5,1812.9,14.7
24.8,20.2,0.5,23.3,2984.3,21
14.1,32.3,0.7,24,6948.3,34.6
15.5,30.2,0.6,24,5968.9,33.3
16.7,28.3,0.7,23.7,7221.9,31.7
20.5,25.2,0.7,19.9,5877.2,28.5
26,21.7,0.6,15.4,4766.6,25.6
33.5,15.2,0.5,11.1,3500.5,17.2
33.5,16.1,0.6,11.3,4149.2,17.9
35.8,15.1,0.4,10.3,2652.3,16.4
38.2,11.8,0.4,10.1,2141.8,12.5
9.1,33.5,0.7,22.3,11424.2,38.2
11.3,31.1,0.7,24.9,8631.0,33.9
5.1,36.5,0.9,25.3,11459.0,42.2
