O₃ [µg/m³],NO₂ [µg/m³],SO₂ [µg/m³],PM2.5 [µg/m³],CPC [1/cm³],NOₓ [µg/m³ eq. NO₂]
6,37.6,1.5,13.1,12639.5,42
8.1,37.5,1.8,13.1,12202.3,40.9
18.8,29.9,2.1,10.3,10970.1,31.2
25.9,24.1,1.8,9.2,9666.5,24.5
36.4,17,1.4,7.3,7442.5,17.6
39.4,13.2,0.9,7.5,4882.7,13.9
30.8,17.1,0.8,9.8,6038.2,17.4
34.1,15,0.7,9.2,5187.6,15.4
32.1,16.3,1,9.3,5232.4,16.9
36.2,16.7,1.5,6.2,6159.2,17.1
37.9,16,1.4,4.2,6676.4,16.6
29.7,22.7,1.3,4.4,8767.1,23.6
16.5,35.8,0.8,5.1,10296.9,38
5.8,48.8,0.9,6.5,14409.8,63.9
6.4,51.6,1.7,8,20283.7,91.4
6.1,56,2.1,9.7,22969.9,107.3
8.5,51.3,2.2,10.7,21044.2,94.2
9.7,48.3,2.1,10.6,17240.8,83.2
67.6,6.9,1.1,2.1,3067.9,8.2
68.2,5.3,0.9,0.9,4136.2,6.3
65.6,5,0.8,0.9,3774.6,5.8
62,8.1,0.7,1.3,5534.8,8.7
62.5,10,0.7,2,6321.1,10.4
66.8,7.3,0.6,1.9,5719.9,7.5
70.8,3.3,0.4,1.9,2669.9,3.4
64.6,4.2,0.5,2.7,4084.5,4.3
61.4,4.4,0.6,2.8,5084.6,4.7
61.9,2.5,0.4,2.1,2404.7,2.5
55.2,3.4,0.3,3.6,1832.4,3.3
52.9,3.8,0.4,4.1,2383.3,4.1
51.2,3.4,0.3,4.5,2152.7,3.6
46.3,5.4,0.4,3.5,3014.0,5.5
52.9,5.4,0.4,2.6,3123.2,5.4
63.1,4.6,0.4,2.3,3075.6,4.5
21.3,27.3,1.6,6.2,10575.8,28.2
12.2,37,1.9,7,13109.3,39.9
4.8,51,2.5,6.3,16027.9,64.6
5.3,52.2,3.3,6,19499.6,81.9
4.8,52.1,3.1,7.5,22200.4,98.2
5.8,55.7,3.1,10,25329.5,111.9
21.6,45.7,2,8.5,16946.4,85.5
63.2,3,1.3,0.6,2310.7,3.5
63.3,2.5,1,0.4,2122.9,3
61,3.6,0.7,0.5,2445.1,4.1
58.8,4.5,0.6,0.5,3266.0,5
61.4,2.8,0.6,0.5,2165.7,3.4
52.6,6.3,0.5,0.7,3887.8,6.5
58.6,4,0.5,1.1,3196.2,4.1
62.4,2.7,0.4,1.1,2516.2,2.8
68.1,1.5,0.4,1.3,2251.5,2
62.4,1.9,0.3,1.1,2219.4,2
58.5,2,0.4,0.8,2351.4,2.2
59.8,1.3,0.3,0.7,1665.7,1.3
49.1,6,0.5,0.9,6402.8,6.3
53.5,3.5,0.5,0.8,3540.5,3.7
52.5,3.5,0.5,0.7,2739.2,3.5
30.5,18.1,1.5,3.1,9936.6,18.4
25.6,21.2,2.2,4.6,10750.1,21.7
23.4,22.7,1.4,3.7,9929.7,23.9
14.6,28.4,1.3,3.9,11962.9,31.6
2.3,41.2,1.7,6.7,15408.9,67.6
4.1,41.4,1.5,7.1,16079.0,61.6
7.2,38,1.1,6.7,12991.7,49.4
7.5,38.9,1.1,6.9,14259.6,52.8
-,-,-,6.6,12404.1,-
6.7,42.2,1.8,8.8,18161.4,89.1
50.3,15.3,1,5.2,7234.0,28.2
83.1,2.1,0.5,1,2911.0,2.5
84.4,2.4,0.4,0.8,2514.1,3.2
85.3,1.9,0.3,0.8,2540.0,2.2
85.2,1.9,0.3,0.8,2620.6,2
82.1,2,0.3,1.2,3067.7,2.1
82,1.4,0.3,2.4,3304.9,1.7
82,1.2,0.2,2.1,3223.1,1.4
81.3,0.9,0.3,2.1,3156.8,1.3
79.4,0.9,0.2,2.4,2575.5,0.9
84.1,0.7,0.2,1.4,2016.0,0.9
84.2,0.6,0.2,1,2031.2,0.8
82.4,0.7,0.2,1.3,1879.9,0.8
73.7,3,0.3,1.4,3761.7,3.1
73.1,2,0.3,1.5,3478.9,2.1
60.9,6.4,0.4,1.8,5415.7,6.6
40,29.3,1.3,3.3,13398.4,30
26.5,27.6,0.6,2.8,11598.1,29.7
22.6,33.9,0.7,4.3,12528.9,37.8
17,41.4,1,5.4,17105.3,70
5.2,56.5,2.2,7.4,26393.7,165.1
8.1,58,3.5,10.2,24900.3,157.3
26.5,40.9,1.8,7.8,17852.0,70.5
39.5,31.1,1.4,7.7,12590.7,45.1
53.8,18.6,0.8,5.4,12070.2,23.4
48.1,21.2,0.7,5.5,14468.5,25.8
46.9,23.4,0.6,5.3,12719.1,26.7
38.1,32.8,0.6,8.6,13670.1,35.3
33.1,35,1.2,6.8,15039.9,36.2
25.6,40.1,1.8,7.5,16665.4,41.1
28.9,34.3,1.4,7.4,13834.9,35.1
33,30.8,1.8,7.1,13119.1,31.5
32.8,27.7,1.5,7.7,11943.2,28.4
28.2,29.1,1.1,8.9,12283.8,29.6
29,27.3,1.2,8.8,10604.9,27.8
20.4,32.7,2.4,9.5,11886.7,33.2
7.7,32.9,1.6,13.2,11219.0,34.9
4.9,31.1,1,14.3,11599.5,33.9
6.1,27.1,1,13.5,10250.2,28.8
6.5,23.1,0.8,12.2,8616.8,24.8
6.4,28.5,1.5,11.3,9776.5,31.5
3.2,34.8,1.9,10.9,12318.3,44.1
3,37.7,2.3,11,14651.7,54.9
3.1,37.3,2.8,11.8,17156.6,70.3
6.8,32.7,2.6,11.7,16616.3,61.7
9.1,32.9,3,14.4,19960.5,73.7
14,30.1,2.9,16.4,18544.7,72.3
19.1,28.9,3.3,18,19232.1,66.1
20.5,32.3,2.9,17.4,18069.4,58.8
17.7,38,2.8,15.2,17118.4,58.9
12.1,45.5,3.6,15.7,17134.1,70.7
10.2,49.1,2.2,12.9,15248.6,64.7
16.5,43,1.3,11.7,13016.6,47.4
17.5,42.4,1,12.7,12696.4,44.6
2.4,58.8,1.6,18.1,15981.2,83.9
3.3,48.1,1,22,20596.8,63.7
2.7,39.9,0.4,26.4,9330.5,46
4.2,38.3,0.4,23.6,7138.8,41.5
10.3,34.2,0.3,23.2,6148.7,35.6
13.5,29.3,0.3,22.1,4414.7,30
13.5,27,0.3,22.4,4396.2,27.1
7.4,33,0.5,23.9,5725.7,35
4.3,33,0.4,26.1,5588.3,35.7
5.5,30.3,0.4,26.2,4781.5,31.6
7.7,28.1,0.3,23.5,4243.1,28.8
5.1,28,0.4,23.5,5022.1,31.7
2.3,26.5,0.4,20.1,6312.9,35.1
5.9,22.4,1.2,21,8847.9,35.1
8.8,20.7,1.3,18.2,9913.4,33.8
9.4,22.3,2.2,19.4,10387.4,35.6
8.8,26.5,2,21.5,9880.6,36.8
8.9,29.6,1.6,24.4,9589.3,37
10.8,29.2,1.3,23.8,9575.4,35.3
10.9,30.6,1.2,23.8,10304.5,39
19.6,24.7,0.9,22.5,8539.7,28
21.4,26.1,1,20.8,14631.6,30.1
13.2,29.2,0.7,21.3,12756.1,33.3
3.4,34.8,0.6,23,13699.1,44.9
7.5,29.9,0.5,24.9,9175.2,32.7
9.7,26.9,0.4,29.1,6675.7,28.3
13.1,23.4,0.3,23.5,4166.9,24.5
13.7,20.1,0.3,23.4,4892.8,20.5
8.4,25.4,0.4,25.2,6294.7,26.9
4.9,29.2,0.7,24.2,7586.3,33
8.3,27.1,0.5,24,5339.3,29.3
10,25.9,0.6,24.4,5918.6,27.2
8.4,26.4,0.7,24.3,6362.0,27.6
3.8,28.8,0.5,24.7,7465.2,32.3
2.6,29.3,0.8,25.6,8001.3,35.2
3.5,29.3,0.8,26.3,7191.9,34
3,29,0.8,26.6,7351.4,34.8
4.5,26.1,1.1,27.2,8495.3,36.1
13.5,18.4,0.8,21.3,5596.8,24
36.1,6,0.5,1.1,1540.8,7
42.7,5,0.4,0.8,1548.0,6
42,5.4,0.4,0.8,2490.3,6.3
44.6,4.5,0.3,1,2235.9,5
58.7,3.6,0.3,1,1970.1,4.2
67.5,3.8,0.3,1.4,3325.7,4.2
68.6,2.9,0.2,1.9,2602.3,3.3
65.5,3.5,0.2,3,2897.0,3.6
57.6,5.6,0.3,4.4,5166.5,5.6
55.7,6.1,0.2,5,5544.1,6.7
61.6,4.6,0.3,3.5,4557.2,5
57.6,4.8,0.2,3,4034.5,5.2
58.3,3.6,0.2,2.6,3357.3,3.8
46.3,12.5,0.3,4.2,6426.9,12.9
50.8,9.1,0.3,4.5,5095.4,9.5
50.6,2.7,0.2,3.6,2499.1,3
42.5,7.3,0.2,4.1,3013.6,7.5
40.6,9.8,0.6,4.7,4614.5,10.1
39.3,12.3,0.4,5,4502.0,12.6
31.6,18.9,0.5,5.8,7048.3,19.2
26.5,25.7,0.8,6.9,7920.2,26.3
28.4,28.5,0.4,6.1,6678.1,29
22,37,0.4,6,7647.3,39.7
40.2,21.3,0.4,5.4,6182.7,25
56.2,11.7,0.3,2,5038.3,12.8
59.1,10.4,0.3,2.7,4287.4,11.3
61.1,9.5,0.4,2.6,4785.4,10.6
70.1,4.4,0.3,2.7,2788.9,5.3
66.4,6.1,0.3,3.2,3103.3,6.6
62.5,8.1,0.3,3.6,4442.0,8.7
48.3,18.8,0.2,4.2,8319.0,20.6
50.1,15.1,0.3,4.3,5813.9,15.3
53.4,9.7,0.3,4.5,5007.2,10.3
55.2,7.2,0.4,4.7,4779.3,7.4
49.5,8.7,0.4,4.8,4931.7,9.2
50,6.6,0.3,5.2,3687.3,7
52.2,5.2,0.3,4.8,3422.7,5.3
45.3,10.1,0.3,5.6,4694.9,10.3
34.9,22.5,0.7,6.7,6751.5,23
40.6,15.7,0.6,8.6,5123.3,15.8
41.9,13.6,0.5,10.6,4892.1,14.2
43.1,13.8,0.4,9,3509.7,14.2
43.1,12.2,0.3,7.9,2698.6,12.7
41.9,12.1,0.3,7.4,3001.6,12.7
35.7,16.5,0.4,10.4,4950.5,17.5
32.1,19.6,0.6,10.8,6344.1,20.7
31.1,21.3,0.5,13.1,7143.3,23
45,10.9,0.4,13.2,3976.8,12.2
51.4,10.4,0.6,10.9,5753.2,14.7
55.9,9.7,0.5,11.2,4502.3,14.8
60.9,6.5,0.4,11.8,4354.6,8.5
61.5,8,0.4,14.3,7144.2,10.1
59.8,8.5,0.4,13.2,5664.0,10.6
60.1,8.9,0.3,12.8,4502.9,10.1
54.5,12.2,0.4,13,5270.3,13.2
44.6,22.2,0.5,14.5,8017.2,23
32.7,36.3,0.6,16,10651.7,37.3
40.1,26.7,0.5,14.6,8570.6,27.3
16,36.8,0.5,24.5,7749.7,40.1
10.1,36.2,0.4,31.4,6513.5,37.8
9.2,37,0.6,35.4,6175.7,38.7
9.5,38.7,0.5,39.7,7009.3,40.1
7.5,43.7,0.6,41.6,7930.5,45.6
10.6,40.6,0.8,41.6,7852.2,41.7
15.5,35,0.8,39.2,7635.6,36.1
14.6,35.6,0.9,36.2,7839.6,36.6
16.6,34.3,1,33.3,7568.3,35.5
17.6,32.5,1,32.2,7277.1,33.9
18,34,1,32.1,10732.7,35.8
21,33.4,1.1,29.1,10314.6,35.9
24.3,30.4,1.1,29.4,10542.0,34.4
27.6,27.8,1.3,31.5,11212.2,36.1
31.4,25.6,1.4,34.1,10938.6,36.3
33.5,26.1,1.4,36.3,13562.1,41.1
33.4,29.3,1.3,39.2,18432.2,47.4
35.4,28.3,1.4,39.7,10577.3,44.6
33,32.9,1.2,40,11246.8,47.8
32.6,34.9,1.2,37.1,11089.8,46.5
34,34.3,1.2,36.4,12118.1,41.9
30.6,37.1,1.2,37,10448.0,39.9
29.5,38.7,1.4,37.5,11065.4,40
35.3,34.4,1.2,36.2,11301.3,35.6
38.9,31.5,1,33.9,10868.5,32
35.7,34,1.1,37.5,9614.7,34.7
41.8,29.3,1.2,47.2,16193.2,30.9
46.1,22.7,1.4,32.8,8974.6,23.6
51.3,19.1,1.5,27.1,10410.3,19.8
52.2,18.1,1.3,25.7,9365.9,18.3
53.3,16.5,1.3,23.6,7383.8,17.1
53.2,16.4,1.5,21.5,7543.0,16.8
49.2,18.7,1.4,24.3,7695.4,19.5
45.7,21.6,1.2,27.2,8100.1,22.3
36.7,30.5,1.2,27.2,11501.7,31.4
30.1,37.5,1.1,27.3,12345.6,39
27.9,41.4,1,27.5,17492.8,47.4
32.1,38,1,28.2,19143.8,49.2
36.7,35.6,1,29.3,22831.2,52.7
59.6,17.4,1.1,19.4,10038.7,24.1
64.8,13.4,1.3,17.8,9342.8,19.4
68.3,12.3,1.4,18.3,9983.2,18.4
74.1,11.5,1.5,16.1,11438.6,16.1
75,12.7,1.4,15.5,9715.0,16.7
70.4,17.4,1.2,16.2,9596.7,20.4
62.8,24.2,1.3,18.1,9719.7,25.7
61.8,23.7,1.5,19.4,9375.9,23.9
57.7,28.6,1.6,19.1,11380.7,29.1
67.9,18.6,1.5,16.4,9030.8,19.2
71.4,14,1.2,15.1,7019.3,14.4
67.7,16.9,1.1,15.8,6895.2,17.1
67.6,15.3,1.4,15.7,6511.2,15.7
67.7,13.7,1.3,14.8,6108.3,14.1
64.6,15,1.3,14.7,6222.6,15.5
56.5,19.9,1.1,16.2,7358.3,20.6
30.6,37.6,1,31,12081.7,39.1
31.8,34.2,1.2,27.1,12583.4,35.2
45.4,25.4,1.1,21.4,9631.3,26.3
58.1,19.4,1,14.4,6986.0,19.9
22.8,47.3,1.1,23.2,15255.2,52
20,52.9,1.7,27,21107.0,78.8
62.5,14.9,1.2,16.1,7529.5,19.6
63.9,14,1.2,16.2,8605.2,19.8
63.9,15.3,1.3,17.3,9251.0,22.3
64.9,15.6,1.2,18.1,8949.3,22.7
67.3,15.5,1.2,17.9,7984.9,22.5
54,31.3,1.4,23.3,10686.4,47.8
55.9,31.5,1.1,25.6,9987.6,41.1
50.1,35,1.1,23.4,9356.0,41.6
48.6,37.2,1.2,20.9,10341.1,40.3
60,25.6,1.1,14,8442.1,26.5
64,19.4,1.1,12.6,8086.9,20
64.8,17.8,1.2,13.6,8239.1,18.5
66.3,16,1.2,13.4,7372.2,16.3
68.1,13.4,1.1,11.9,6210.5,13.8
69.2,12,1,11.2,5718.7,12.5
68.4,11.1,0.9,11,5498.0,11.5
66.1,12.7,1.1,11.1,5738.0,13.1
67,11.1,1.1,10,5540.3,11.5
67,11.2,1,8.6,5328.8,11.6
67.8,9.8,1.2,8.5,4925.9,10.5
67,10.3,1.3,10.2,4904.3,10.8
67.2,9.6,1.2,11.1,4917.7,10.2
66.7,10.6,1.2,10.6,5024.3,11.2
66.2,11.2,1.3,10.7,5873.6,12.7
68.2,9.6,1.5,10.8,6216.8,12.8
69.3,8.9,1.3,11.6,7095.2,12.8
71.2,8.5,1.4,11.8,6019.6,12.9
73.6,8.9,1.4,11.2,5988.0,12.9
75.4,9.3,1.5,11.4,10727.1,13.5
78.4,9.5,1.1,10.4,6870.4,12.9
79.3,10,1.1,10.2,7114.4,13.2
78,12.1,1.1,8.8,7419.7,14.5
71.7,18.1,1.7,9.8,9928.2,19.4
69.7,19.4,1.2,9.6,11322.7,19.5
65.1,21.8,1.2,10.7,13140.3,22.7
67.8,18.2,1.1,9,11635.4,18.8
69.1,15.7,1.1,8.2,10177.0,16
70.4,12.6,1.4,8.3,9159.6,12.9
67.6,14,2.2,8.3,9019.0,14.5
64.5,16.1,1.9,8.5,8958.0,16.5
54.9,22.1,1.7,10.6,11361.9,23.2
47.9,25.7,1.5,16.5,12072.1,26.7
46.8,26.1,1.5,11.8,10835.1,26.9
40.5,27.7,1.3,15,11683.3,28.7
32.5,34.5,1.4,14.8,13965.6,35.8
31.6,36,1.6,13.6,14757.5,37.1
32.3,36.6,2.2,12.2,14454.5,38.4
47.1,25.8,1.6,10.9,9935.4,32.1
65.4,9.7,1.3,11,5117.1,12.4
66.2,9.6,1.5,12.7,6658.9,13.3
67,9.5,1.5,15.6,5393.6,13.7
68.6,10.1,1.5,16.6,6428.8,14.9
70,11.3,1.5,17.6,6580.6,15.8
71.1,12.5,1.3,19.7,6706.9,17.2
71.7,13.5,1.3,20.1,6198.7,16.6
68.3,17.6,1.3,19,7318.1,20.2
63.1,23.1,1.7,19.9,9034.5,24
60.7,24.7,2.2,22.7,10693.8,25
57.3,27.1,3,23.5,11778.0,27.8
54.4,27.9,2.6,23.8,10630.4,28.5
55.2,25.9,1.8,23.5,9007.7,26.4
58.4,22.3,2.1,23.5,7724.7,22.3
58.1,21.5,2,23.6,7343.8,22
51.6,24.9,1.8,25.1,7175.8,25.6
49.8,24,2.1,25.7,6995.3,24.9
46,26.1,2.7,28,7592.4,26.5
46.1,24.4,2.6,29.6,7453.0,25.1
45.5,24.8,2.3,31.4,7060.7,25.4
40.6,27.2,1.9,34,7558.0,28.4
31.6,34.4,1.7,34.9,9295.5,35.8
22.1,43.5,1.8,35.1,11130.8,47.2
28.3,34.7,1.9,36.9,11701.9,43.1
33.9,31.3,1.9,34.7,11621.5,42.4
29.9,38.7,2.3,36.4,15598.7,58.5
38.8,32,1.9,36,12508.7,49
41.1,29.9,1.9,37.1,11469.1,45.2
41.4,31.8,1.9,37,11543.6,46.6
33.5,40,1.8,37.6,11745.2,53
19.2,56.1,2.4,42.8,16588.8,76.9
13.1,61.2,2.7,41.4,17171.3,82.2
7,68.6,3,40.1,16671.3,90.6
3.2,73.8,3.3,41.4,17658.5,106.2
3.6,71.1,3.1,39.3,15603.0,86.6
3.3,71.5,3.3,43.4,18851.8,120
3.3,69.6,3.8,40.1,15973.1,90
3,67,2.6,37.6,13218.0,82.5
3.2,64.9,2.9,37.4,14161.5,86.1
2.9,60.8,2,35.9,11566.5,72.4
4.7,57.9,2.2,35,11975.4,71.8
4.6,54.6,2.1,32.5,10417.2,62.4
3.9,52.5,2.2,31.4,10178.0,58.6
4.7,49.7,2.4,29,10575.0,57.9
4.9,47,2.4,25.8,11134.6,53.3
7.7,45.5,2.5,23.5,11498.0,51
6.7,48.2,2.5,19.8,12927.4,58.8
14.9,46.6,2.3,15.3,14438.5,59.9
29.9,34.1,2.6,12.6,14179.2,51.7
37.2,32.2,3.2,12.5,17806.6,51.7
48.4,24.8,2.2,12,12570.5,38.2
50.5,22.5,1.9,11.5,10504.4,32.3
49.2,24.6,1.8,12.1,10930.2,35.3
51.1,25.3,1.9,11.1,11517.9,33.2
60.1,21.5,1.8,11.9,11099.3,25.2
68.3,16.6,1.5,11.1,9624.6,18.4
54.6,26.3,1.4,12.5,10924.4,27.7
28.5,45.7,1.4,15.6,13465.6,49.1
24.6,39,1.1,19.1,13296.4,42.1
13.1,52.9,1.7,20.9,17494.4,62.6
2.8,60.1,2.1,17.9,16025.4,81
2.7,56.2,3.3,18.4,16695.0,72.4
2.8,47.7,1.8,21.3,14682.6,58.1
15.1,37.3,1.5,19.2,12449.4,45.6
60.1,9.1,1.2,7,4372.2,9.5
57.4,15,1.3,4.6,6428.3,15.5
60.1,13,1.1,5,4883.0,13.4
54,11.8,1.1,4.7,6184.8,12.1
68.1,6,1,5.2,2865.8,6.3
65.7,7.5,0.9,5.6,4302.9,7.7
57.8,9,0.8,5.6,3366.2,9.9
55.8,19.5,0.8,4.7,5527.8,22.1
49.3,30.2,1.1,4.8,9268.2,34.1
76.6,5.3,0.7,2.9,3989.9,5.9
79,6.6,0.8,2.5,3813.8,7.5
84.3,3.2,0.7,1.9,1997.3,3.7
84.4,2.6,0.7,1.7,2347.2,3.1
79.4,5.9,0.7,3.3,6005.3,7
79.4,5.9,0.6,3.3,4470.0,6.9
78.2,6.1,0.5,3.3,4634.4,7.2
71.4,13.8,0.5,3.6,7549.0,14.4
51.5,31.8,0.8,4.9,15278.1,32.7
27.2,44,1,9.6,18814.5,45.2
9.5,60.9,1.5,11.7,20935.1,68.9
14,51.2,1.6,11.3,17973.6,55.5
23.1,38.4,1.5,10.6,14864.6,39.5
21.3,34.7,1.2,10.8,12993.8,36.1
25.1,28.3,1.1,9.5,11109.3,29.1
26.3,25.9,1.1,8.8,11515.2,26.5
26.6,24,1.4,8.6,11875.4,25.1
25.6,25.1,1.5,8.4,11651.4,26.3
30,21.2,1.6,8.1,10316.0,22.1
25.6,27.3,1.5,9.1,10882.9,28.4
18,35.4,1.5,10.2,12581.0,37.6
15.7,38.6,1.4,13,12479.2,43.6
21.2,33,1.6,15.9,12986.1,44.4
24.6,29.8,1.9,15.8,14386.1,46.8
30,25.3,1.6,16.8,11264.1,40.5
37.2,19.7,1.3,15.8,10092.6,29.7
39.9,20.7,1.2,13.2,9509.1,29.4
40.4,23.2,1.4,12.3,11158.8,32
36.9,28,1.7,12.4,12295.1,36.7
38.4,29.6,1.4,13.1,12750.2,35.9
38.1,31,1,11.8,10596.0,35.1
34.2,34.3,1.1,11.7,10768.2,36.7
32.5,33.9,1.2,12.1,10134.0,34.9
27.6,37.6,1.5,13.5,12120.3,38
21.8,42.3,1.5,13.9,13233.9,43.7
10,53.6,1.7,15.6,15274.3,55.7
17.8,45.4,1.5,16.3,13000.1,47.4
44.9,22.5,1.1,13.3,7475.0,22.9
61.3,8.1,0.9,6.9,4486.0,8.2
56.7,10.9,0.9,6.6,6106.9,11.5
54.6,10.5,0.9,6.9,6397.4,10.7
67.1,4.7,0.7,5.5,2673.7,4.8
71.9,5,0.7,3.5,2532.9,5.1
71,7.6,0.7,3.7,3306.5,8.4
44.9,30.6,0.9,4.5,10417.9,31
6.7,68.2,1.2,6.1,18303.9,82.1
20,55.9,1.3,6.1,16727.7,66.1
23.1,56.3,1.7,7,19252.1,71.8
28,48.9,1.6,7.6,17904.9,64.7
39.3,36,1.6,9.4,13449.8,47.4
48.9,20.4,1.7,10.2,12447.6,30.2
58.6,13.6,1.3,9.1,7790.1,18.9
59.9,12.6,1,8.8,7579.1,16.7
56.6,15.6,0.9,10,8274.4,19.6
53.5,19.7,0.7,10.1,7482.9,23.3
43.4,27.9,0.7,11.3,9436.5,29.8
39.2,31.6,1.1,13.7,12358.4,32.4
35.7,33.7,1.5,16,14326.1,34.6
30.5,36.1,2.7,16.1,14087.7,36.8
29,34.4,2.4,17.9,12819.0,35.1
26.1,33.3,3,18.1,12632.6,34.2
25.7,25.9,1.3,18.4,10752.6,26.7
20.1,28.5,1.5,18.5,10846.9,29.4
18.5,26.3,1.4,17.2,9845.0,27.4
16.8,27.4,2.1,16.6,9910.4,28.3
15,26.9,2,16.4,9251.7,27.9
15.9,24.8,1.7,16,8450.0,25.8
19,22.3,1.7,16,8304.1,22.7
17.8,21.8,1.3,16.1,8201.0,23.6
21.1,19.8,1.2,17.1,6890.6,21.1
19.2,20.8,2.2,17.5,9567.3,28.9
22.2,20,2.4,19.7,10443.8,34.7
28.7,18.2,2.7,22.3,11501.6,32.1
39,16.4,1.9,22.3,8775.9,27
49.6,13.7,1.5,21.1,8362.1,20.3
56.3,13.5,1.3,18.6,8333.7,19
58.8,14.5,1.3,17.1,8925.3,19.4
60.6,16.3,1.1,16.8,9300.9,20.7
64.1,16.4,0.9,15.8,10593.1,19.1
66.7,16.3,0.7,14.5,10516.8,17.4
62.6,19.7,0.8,15.3,12471.0,20.4
59.5,20.3,0.9,18.2,12955.5,20.8
55,21.7,1.3,19.3,11922.6,22.2
50.2,22.2,1.1,19.9,12510.0,22.7
41.8,24.5,1.1,22.7,12117.3,25
41.2,22.1,1.1,23.2,11468.9,22.8
39.5,21.2,1.6,23.6,11210.0,21.7
37.3,20.8,1.4,23,10246.9,21.2
37.4,19.1,1.8,23.1,9861.2,19.6
38.3,18.2,1.8,22.5,9084.2,18.5
38.4,17.2,1.7,22.1,8311.7,17.5
31.8,19.9,2,21.7,9296.5,20.6
26.9,22.8,2,22.5,9668.7,23.8
25.8,21.3,1.5,19.2,9305.0,22.8
30.7,19.3,2.1,22.3,8800.4,24.4
41.2,15.2,1.7,22.1,7196.6,21.5
49.8,12.2,1.4,22.1,6898.3,17.1
56.9,10.2,1.1,20.7,6292.2,13.5
62.7,9.8,1.1,18,6787.9,12.8
68,9.9,1.1,16.1,8222.9,12.8
80.5,8,0.9,13,7327.5,9.9
85.5,7.5,0.8,10,6801.1,8.8
84.2,9,1,9.6,10196.9,10.1
82.9,12.2,0.7,7.9,8806.0,12.7
61.7,27.9,1,11.6,16865.8,28.7
46.7,36.1,1.7,15.5,18343.6,36.6
44.1,30.5,3.6,19.9,16014.4,31
44.4,26.6,4.2,19.7,13089.5,27.3
31.5,31.5,2.6,19.6,13574.9,32.2
34.6,26.5,3,19.6,11749.4,27.1
34.3,24.2,2.3,19.1,10346.7,24.9
34.1,21.9,2,16.9,9972.8,22.7
34.3,20.8,2.1,15.8,9910.9,21.4
35.3,18.3,2,14.9,8640.5,18.8
33.6,20.5,1.9,14.7,8596.3,21
28.9,24.2,2.3,14.8,10179.3,24.9
26.1,29.1,2.1,15.3,10428.1,30
15.5,40.9,2.6,16.9,13956.8,45.3
18,42.3,3,16.6,15701.2,58
16,42.2,2.8,16.9,19760.7,82.7
31.7,34.7,2.6,18.2,16662.6,57.9
56.2,19,1.6,13.1,11148.8,25.7
62.6,13.7,1.1,11.9,7798.5,17.9
67.5,13.2,1.1,10.7,7236.8,16.9
69.1,11.9,1,10,6677.6,15
66.7,13.1,1,10.5,6883.7,15.5
62.4,16.2,0.9,11.5,7370.4,18.1
52.7,28.1,1,12.7,10615.3,29.7
27.7,50.6,1.6,16.1,19157.8,54.2
9.9,49.6,1.5,20.3,16830.8,55.9
24.1,36.9,1.6,23,17489.6,41.5
6.8,52.2,2.8,23.8,18499.5,62.8
13.1,43.8,3.5,20.9,14105.8,46.8
21.5,32.2,2.8,19.7,11072.4,33
19.2,30.1,2,18.9,10799.8,31.2
19.3,28.8,2.3,18.4,10315.2,29.6
16.7,30.7,2.1,19.1,11433.8,31.9
17.3,28.1,2,18.1,9637.9,28.9
17.5,27.4,1.9,17.6,9133.4,28.6
11.8,27.4,1.2,17,9142.0,30.1
8.4,29.6,1.3,15.8,10537.2,35.2
4.7,42.3,2.8,19.7,15216.1,59.6
10.9,38.5,2.4,21.1,14927.4,68
17.5,33.4,2.5,21.7,13932.3,63.4
15.1,38.9,3.4,25.3,19235.6,96.3
17.5,42,4,26.6,22261.0,101.7
30.4,38.4,3.6,24.5,14890.1,70.8
49.3,24.4,2.4,20.7,8620.6,35.7
59.9,16.3,1.6,21.3,8447.8,21.6
70.3,7.9,1.2,22.9,4906.8,9.4
61.1,19,1.1,23.3,6908.9,21.4
45.9,34.4,1.6,25.3,17049.9,36.7
34.9,44.5,2,23.4,24747.7,45.1
16,57.5,3.6,23.9,19327.9,59.4
27.9,39.7,2.1,24.2,13988.3,40.5
24.4,37.8,2.4,26,13462.3,38.5
23.4,35.1,2.6,26.4,12878.6,35.9
18.9,36.8,2.8,28.4,11527.9,37.6
22.8,30.9,2.4,28.3,10260.7,31.5
25.6,27.5,2.8,28.1,9355.0,28.3
21.6,28.9,2.9,28.3,9913.7,29.3
18.6,29.6,2.4,28.2,9423.7,30.6
18.1,29,2.6,27.4,9208.5,29.7
14.8,32.2,2.3,28.6,9555.8,33.8
9.3,38,3.4,29.8,11389.6,41.6
5.6,41.9,3.6,29.8,13570.5,56.2
11.1,37.8,3.2,29.6,17450.7,62.5
20.7,30.7,3.1,30.4,21033.8,52
29.5,27.1,2.6,30,20448.6,45.2
36.9,24,2.1,31,11955.1,37.7
44.1,19.6,1.8,30.2,10450.1,29.4
49.9,19.1,1.5,30.1,9416.6,26.9
52.4,20,1.5,31,9482.7,26.7
52.6,21,1.3,31.6,9874.6,26.7
49.4,24.7,1,31.8,10404.2,29.1
46.5,26.5,1,32.3,9508.7,27.8
38.9,31.8,1.2,34.4,12130.6,32.6
38.4,30.1,1.7,33.9,11588.5,30.8
40,26.2,1.2,35.3,8853.0,26.7
25.8,34,2.1,37.7,12099.8,35.9
16.1,35,1.8,39,14257.0,37.5
17.2,32.9,2.5,38.8,12437.5,34.3
